"","시군구","번지","단지명","전용면적","거래금액"
"1","서울특별시 마포구 공덕동","371","공덕1삼성래미안",114.88,1e+05
"2","서울특별시 마포구 공덕동","371","공덕1삼성래미안",114.88,109000
"3","서울특별시 마포구 공덕동","457","공덕3삼성래미안",114.98,125000
"4","서울특별시 마포구 공덕동","457","공덕3삼성래미안",84.98,105000
"5","서울특별시 마포구 공덕동","457","공덕3삼성래미안",84.98,103000
"6","서울특별시 마포구 공덕동","476","공덕파크자이",84.8852,117000
"7","서울특별시 마포구 공덕동","476","공덕파크자이",121.4551,155000
"8","서울특별시 마포구 공덕동","476","공덕파크자이",149.0423,175000
"9","서울특별시 마포구 공덕동","469","래미안공덕5차",113.866,1e+05
"10","서울특별시 마포구 공덕동","469","래미안공덕5차",113.866,120000
"11","서울특별시 마포구 공덕동","467","롯데캐슬프레지던트",245.39,310000
"12","서울특별시 마포구 공덕동","467","롯데캐슬프레지던트",191.872,147000
"13","서울특별시 마포구 공덕동","467","롯데캐슬프레지던트",191.872,150000
"14","서울특별시 마포구 공덕동","467","롯데캐슬프레지던트",191.532,164000
"15","서울특별시 마포구 공덕동","467","롯데캐슬프레지던트",191.872,147000
"16","서울특별시 마포구 대흥동","804","마포자이2차",84.95,104500
"17","서울특별시 마포구 대흥동","804","마포자이2차",118.56,125000
"18","서울특별시 마포구 대흥동","804","마포자이2차",118.79,125000
"19","서울특별시 마포구 대흥동","804","마포자이2차",84.44,104000
"20","서울특별시 마포구 대흥동","804","마포자이2차",84.44,111000
"21","서울특별시 마포구 대흥동","804","마포자이2차",118.79,135000
"22","서울특별시 마포구 대흥동","804","마포자이2차",118.79,127000
"23","서울특별시 마포구 대흥동","804","마포자이2차",84.95,110000
"24","서울특별시 마포구 대흥동","804","마포자이2차",84.44,113000
"25","서울특별시 마포구 대흥동","804","마포자이2차",118.79,135000
"26","서울특별시 마포구 대흥동","804","마포자이2차",84.95,114500
"27","서울특별시 마포구 도화동","550","삼성",136.1,104900
"28","서울특별시 마포구 도화동","550","삼성",136.1,112000
"29","서울특별시 마포구 도화동","550","삼성",136.1,105000
"30","서울특별시 마포구 상수동","402","래미안밤섬리베뉴 Ⅰ",84.99,101000
"31","서울특별시 마포구 상수동","402","래미안밤섬리베뉴 Ⅰ",84.99,102000
"32","서울특별시 마포구 상수동","402","래미안밤섬리베뉴 Ⅰ",84.99,105000
"33","서울특별시 마포구 상수동","402","래미안밤섬리베뉴 Ⅰ",84.99,103500
"34","서울특별시 마포구 상수동","398","래미안밤섬리베뉴 Ⅱ",84.82,101000
"35","서울특별시 마포구 상수동","398","래미안밤섬리베뉴 Ⅱ",84.82,102000
"36","서울특별시 마포구 상수동","398","래미안밤섬리베뉴 Ⅱ",84.82,103500
"37","서울특별시 마포구 상수동","398","래미안밤섬리베뉴 Ⅱ",84.82,110000
"38","서울특별시 마포구 상수동","398","래미안밤섬리베뉴 Ⅱ",84.82,107500
"39","서울특별시 마포구 상수동","398","래미안밤섬리베뉴 Ⅱ",84.82,107000
"40","서울특별시 마포구 상수동","395","밤섬리버베르빌",174.319,145000
"41","서울특별시 마포구 상수동","353-4","밤섬리오팰리스",232.36,109000
"42","서울특별시 마포구 상수동","353-4","밤섬리오팰리스",206.04,1e+05
"43","서울특별시 마포구 상수동","394","신구강변연가",187.426,155000
"44","서울특별시 마포구 상암동","1655","상암월드컵파크4단지",104.78,1e+05
"45","서울특별시 마포구 서교동","490","메세나폴리스",122.867,138000
