"주소","사업장명"
"서울특별시 서대문구 북가좌동 294-15번지 ","거북골 곱창"
"서울특별시 서대문구 충정로3가 268번지 외 5필지(270,270-1,271,273-2,274) 1층 일부 ","위드미치코(with michiko)"
"서울특별시 서대문구 홍은동 409-46번지 지하1층 ","반지하라운지"
"서울특별시 서대문구 연희동 702-13번지 1층(105호) ","마포갈비"
"서울특별시 서대문구 창천동 53-96번지 ","마미당1948"
"서울특별시 서대문구 창천동 62-4번지 1층 ","이삭토스트 신촌점"
"서울특별시 서대문구 미근동 215번지 서소문아파트 상가A-2호 ","아리스타커피"
"서울특별시 서대문구 남가좌동 325-13번지 ","60계치킨 명지대점"
"서울특별시 서대문구 홍은동 275-7번지 1층 ","홍은나루터"
"서울특별시 서대문구 대신동 111-16번지 ","작은프랑스"
"서울특별시 서대문구 창천동 53-83번지 (지상1층) ","고향"
"서울특별시 서대문구 창천동 57-63번지 ","윙위니치킨"
"서울특별시 서대문구 대신동 50-1번지 ","압구정샤브샤브"
"서울특별시 서대문구 냉천동 263번지 101호 ","평동집"
"서울특별시 서대문구 창천동 2-7번지 1층 ","뉴타운"
"서울특별시 서대문구 홍제동 298-7번지 1호동 1층22호 ","명희순대국"
"서울특별시 서대문구 홍제동 298-7번지 1호동 1층30,31호 ","승연이네"
"서울특별시 서대문구 연희동 703-3번지 (지상1층) ","한분식"
"서울특별시 서대문구 냉천동 226번지 외1필지 ","어 ! 국수"
"서울특별시 서대문구 창천동 57-8번지 2층 ","가화만사성"
"서울특별시 서대문구 북가좌동 326-1번지 ","김밥천국"
"서울특별시 서대문구 미근동 215-0번지 ","미소가(家)"
"서울특별시 서대문구 남가좌동 345-3번지 ","기로스치킨"
"서울특별시 서대문구 대현동 37-45번지 ","아이비사주카페"
"서울특별시 서대문구 홍제동 266-60번지 13호(지상1층) ","남원추어탕"
"서울특별시 서대문구 남가좌동 102-13번지 ","마포갈비"
"서울특별시 서대문구 대현동 53-20번지 1층 ","란주탕슈"
"서울특별시 서대문구 남가좌동 289-1번지 (지상1층) ","스트라이크"
"서울특별시 서대문구 현저동 104-65번지 ","독립문식당"
"서울특별시 서대문구 창천동 33-18번지 ","한신포차"
"서울특별시 서대문구 남가좌동 272번지 , 273-12 ","수정"
"서울특별시 서대문구 홍은동 48-100번지 1층 ","홍은손칼국수"
"서울특별시 서대문구 연희동 169-24번지 ","우정 보리밥"
"서울특별시 서대문구 미근동 163번지 ","신라스테이 서대문 까페(cafe)"
"서울특별시 서대문구 창천동 31-91번지 ","교촌치킨 신촌점"
"서울특별시 서대문구 북가좌동 487번지 성공타워 1층 104호 ","옛날장터치킨북가좌동점"
"서울특별시 서대문구 홍은동 104-1번지 나호 2층 ","낭만"
"서울특별시 서대문구 홍제동 334-97번지 ","해밀 철판 동태찜"
"서울특별시 서대문구 창천동 52-18번지 2호 (지상1층) ","더멜팅팟 신촌점"
"서울특별시 서대문구 홍제동 330-238번지 ","전주집"
"서울특별시 서대문구 충정로3가 189-9번지 미동아파트상가 103호","미동면옥"
"서울특별시 서대문구 영천동 69-20번지 ","이모네곱창"
"서울특별시 서대문구 대현동 104-39번지 ","공릉닭한마리"
"서울특별시 서대문구 충정로3가 368번지 지하1층 B17호 ","히비야"
"서울특별시 서대문구 연희동 34-6번지 지하1층 ","카페언더바"
"서울특별시 서대문구 홍은동 271-1번지 ","제주세호 해장국"
"서울특별시 서대문구 대현동 90-13번지 ","이 사주공간"
"서울특별시 서대문구 창천동 33-9번지 지하1층 ","콩불 신촌점"
"서울특별시 서대문구 남가좌동 152-45 2층 ","모래내닭강정"
"서울특별시 서대문구 창천동 52-16번지 (지상1층) ","쭈꾸미달인"
"서울특별시 서대문구 남가좌동 295-5번지 1층 라104,110호 ","연정"
"서울특별시 서대문구 창천동 13-2번지 준성빌딩 ","코다차야"
"서울특별시 서대문구 대현동 27-17번지 ","나띵벗커피"
"서울특별시 서대문구 연희동 75-3번지 지하1층 ","마룬여유"
"서울특별시 서대문구 북가좌동 347-43번지 ","은혜식당"
"서울특별시 서대문구 창천동 20-25번지 ","씨지브이신촌아트레온 매점1"
"서울특별시 서대문구 창천동 20-25번지 ","씨지브이신촌아트레온 매점2"
"서울특별시 서대문구 창천동 20-25번지 ","씨지브이신촌아트레온"
"서울특별시 서대문구 연희동 90-12번지 ","연희동 보리굴비"
"서울특별시 서대문구 홍은동 48-82번지 ","토리텐"
"서울특별시 서대문구 홍제동 274-36번지 지상1층 ","미스터피자 홍제점"
"서울특별시 서대문구 대현동 56-94번지 1층 ","카페하루(cafe haru)"
"서울특별시 서대문구 홍은동 409-48번지 2층 ","블랙앤쿡"
"서울특별시 서대문구 북가좌동 299-1번지 1층 ","막걸리와전"
"서울특별시 서대문구 연희동 715-4번지 1층 ","셸터"
"서울특별시 서대문구 대현동 56-100번지 ","내가찜한닭"
"서울특별시 서대문구 대현동 90-53번지 ","퀸즈 베이글"
"서울특별시 서대문구 충정로3가 283번지 ","예나(Jena)"
"서울특별시 서대문구 북아현동 3-129번지 (지상1층) ","도우넛카페"
"서울특별시 서대문구 창천동 33-32번지 (지상2층) ","팁시펍(TIPSY PUB)"
"서울특별시 서대문구 홍제동 103-3번지 외4필지 (지상1층) ","얌샘홍제점"
"서울특별시 서대문구 충정로3가 345번지 1,2층 전체 ","고기사랑"
"서울특별시 서대문구 홍제동 298-7번지 1동 1층24,25호 ","소문난연경이네"
"서울특별시 서대문구 창천동 31-82번지 (지상2층) ","닭갈비 제작소"
"서울특별시 서대문구 미근동 332번지 1층 103호 웨스트게이트타워 ","뚜띠쿠치나"
"서울특별시 서대문구 미근동 171번지 ","서대문집"
"서울특별시 서대문구 냉천동 213번지 (지상1층) ","본가국수"
"서울특별시 서대문구 신촌동 66-1번지 외 1필지 (지상1층) ","알렌관"
"서울특별시 서대문구 홍제동 176-6번지 옐림빌딩 1층 ","원조명동찌개마을"
"서울특별시 서대문구 북가좌동 487번지 성공타워1 ","(주)에스에프에프에스 꽃마름가좌역점"
"서울특별시 서대문구 홍제동 103-3번지 지층 ","놀러와"
"서울특별시 서대문구 충정로2가 29번지 2층 ","짬뽕주의"
"서울특별시 서대문구 남가좌동 5-168번지 지하1층 ","에이프롬비 커피서바이벌 로스터스"
"서울특별시 서대문구 창천동 13-33번지 ","또보겠지(히어로점)"
"서울특별시 서대문구 홍은동 9-127번지 ","와글바글"
"서울특별시 서대문구 남가좌동 325-16 1층 전체 ","여리네 닭갈비"
"서울특별시 서대문구 홍은동 277-17번지 2층 ","미가푸드"
"서울특별시 서대문구 남가좌동 291-25번지 1층 일부((내) 전체) ","모래내돼지갈비"
"서울특별시 서대문구 홍제동 169-4번지 (지상2층) ","호아빈"
"서울특별시 서대문구 창천동 18-55번지 (지하1층) ","나주식당"
"서울특별시 서대문구 미근동 172번지 ","서대문갈비"
"서울특별시 서대문구 창천동 13-5번지 ","어반(URBAN)"
"서울특별시 서대문구 창천동 57-51번지 (지상2층) ","북경양꼬치"
"서울특별시 서대문구 홍제동 174-13번지 2층 ","행복포차(홍제역점)"
"서울특별시 서대문구 남가좌동 292-11번지 1층 ","여기가좋겠네"
"서울특별시 서대문구 북아현동 134-25번지 ","청년치킨"
"서울특별시 서대문구 홍제동 274-51번지 ","걸작떡볶이치킨"
"서울특별시 서대문구 남가좌동 327-42번지 베어하우스 ","배달의 쌀국수"
"서울특별시 서대문구 홍은동 401-3번지 ","블랙아웃"
"서울특별시 서대문구 충정로2가 19-1번지 ","엄마가 차려주신 맛있는 술상"
"서울특별시 서대문구 북아현동 187-3번지 버금랑사옥 ","담아"
"서울특별시 서대문구 충정로2가 69-18번지 1층 ","라살라드리"
"서울특별시 서대문구 대현동 104-48번지 은하빌딩 ","리버트리"
"서울특별시 서대문구 대현동 104-48번지 은하빌딩 ","락희돈"
"서울특별시 서대문구 충정로3가 190-28번지 1층 ","슈퍼커피 충정로점"
"서울특별시 서대문구 연희동 132-83번지 ","모르모르(Morr Morr)"
"서울특별시 서대문구 대현동 104-18번지 ","벤치커피스튜디오"
"서울특별시 서대문구 창천동 33-5번지 1층 ","사천마라탕"
